movieId,title,year,Romance,Musical,Action,(no genres listed),Thriller,Film-Noir,Mystery,Sci-Fi,Horror,War,Western,IMAX,Children,Animation,Adventure,Crime,Fantasy,Documentary,Drama,Comedy,year_normalized,movie_encoded
1,Toy Story,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0.801724137931032,0
2,Jumanji,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.801724137931032,1
3,Grumpier Old Men,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.801724137931032,2
4,Waiting to Exhale,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.801724137931032,3
5,Father of the Bride Part II,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.801724137931032,4
6,Heat,1995.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.801724137931032,5
7,Sabrina,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.801724137931032,6
8,Tom and Huck,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.801724137931032,7
9,Sudden Death,1995.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801724137931032,8
10,GoldenEye,1995.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.801724137931032,9
11,"American President, The",1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.801724137931032,10
12,Dracula: Dead and Loving It,1995.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.801724137931032,11
13,Balto,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.801724137931032,12
14,Nixon,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.801724137931032,13
15,Cutthroat Island,1995.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.801724137931032,14
16,Casino,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.801724137931032,15
17,Sense and Sensibility,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.801724137931032,16
18,Four Rooms,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.801724137931032,17
19,Ace Ventura: When Nature Calls,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.801724137931032,18
20,Money Train,1995.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.801724137931032,19
21,Get Shorty,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.801724137931032,20
22,Copycat,1995.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0.801724137931032,21
23,Assassins,1995.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.801724137931032,22
24,Powder,1995.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.801724137931032,23
25,Leaving Las Vegas,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.801724137931032,24
26,Othello,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.801724137931032,25
27,Now and Then,1995.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.801724137931032,26
28,Persuasion,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.801724137931032,27
